classification	action	path
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/ONE_COMMON_EA_ARCHITECTURE_AUDIT.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/README.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/STAGE_1_STEP_01_AI_EA_BUILDER_INPUTS.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/STAGE_1_STEP_02_PRE_ADD_BACKTEST.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/STAGE_1_STEP_03B_PREVIEW_BACKTEST_ZERO_TRADES_BUG.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/STAGE_1_STEP_03_REAL_EA_CREATION_E2E_TEST.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/STAGE_3_A_LIVE_TRADING_FOUNDATION.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/02_DEVELOPMENT_LOG/STAGE_3_B_AVL_EXECUTION_BRIDGE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/COMMON_EXECUTION_BRIDGE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/ENV_VARIABLES.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/EXECUTION_ENGINE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/LIVE_TRADING.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/PAPER_TRADING.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/RISK_ENGINE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/SAFETY.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/STRATEGY_RUNTIME.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/03_PRODUCTION/USER_MT5_REALTIME_ARCHITECTURE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/04_WORKFLOW/EA_CREATION_FLOW.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/04_WORKFLOW/LIVE_DEPLOYMENT_FLOW.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/04_WORKFLOW/RESEARCH_PIPELINE.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/04_WORKFLOW/VALIDATION_FLOW.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/05_UI_UX/AI_EA_BUILDER.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/05_UI_UX/EA_COMMAND_CENTER.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/05_UI_UX/FINAL_UI.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/05_UI_UX/STRATEGY_DETAIL.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/06_RESEARCH_HISTORY/PHASE_5_RESULTS.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/06_RESEARCH_HISTORY/PHASE_6_RESULTS.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/06_RESEARCH_HISTORY/PHASE_7_RESULTS.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/06_RESEARCH_HISTORY/PHASE_8_RESULTS.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/06_RESEARCH_HISTORY/USER_MT5_MARKET_DATA_ARCHITECTURE_AUDIT.md
UNKNOWN_REQUIRES_REVIEW(docs deleted locally only)	KEEP_IN_GIT(Owner decision)	AVLFXドキュメント/99_ARCHIVE/README.md
INTENTIONAL(moved to separate AVL-FX console repo)	COMMIT_DELETION	apps/console/.gitignore
INTENTIONAL(moved to separate AVL-FX console repo)	COMMIT_DELETION	apps/console/next.config.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/LICENSE
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/README.md
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/index.cjs
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/index.d.cts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/index.d.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/index.js
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/package.json
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/index.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/ZodError.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/datetime.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/discriminatedUnion.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/index.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/ipv4.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/object.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/primitives.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/realworld.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/string.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/benchmarks/union.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/errors.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/external.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/helpers/enumUtil.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/helpers/errorUtil.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/helpers/parseUtil.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/helpers/partialUtil.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/helpers/typeAliases.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/helpers/util.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/index.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/locales/en.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/standard-schema.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/Mocker.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/all-errors.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/anyunknown.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/array.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/async-parsing.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/async-refinements.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/base.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/bigint.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/branded.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/catch.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/coerce.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/complex.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/custom.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/date.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/deepmasking.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/default.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/description.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/discriminated-unions.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/enum.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/error.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/firstparty.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/firstpartyschematypes.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/function.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/generics.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/instanceof.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/intersection.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/language-server.source.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/language-server.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/literal.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/map.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/masking.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/mocker.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/nan.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/nativeEnum.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/nullable.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/number.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/object-augmentation.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/object-in-es5-env.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/object.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/optional.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/parseUtil.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/parser.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/partials.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/pickomit.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/pipeline.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/preprocess.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/primitive.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/promise.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/readonly.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/record.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/recursive.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/refine.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/safeparse.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/set.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/standard-schema.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/string.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/transformer.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/tuple.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/unions.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/validations.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/tests/void.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v3/types.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4-mini/index.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/checks.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/coerce.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/compat.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/errors.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/external.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/index.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/iso.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/parse.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/schemas.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/anyunknown.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/array.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/assignability.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/async-parsing.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/async-refinements.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/base.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/bigint.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/brand.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/catch.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/coalesce.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/coerce.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/continuability.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/custom.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/date.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/datetime.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/default.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/description.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/discriminated-unions.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/enum.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/error-utils.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/error.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/file.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/firstparty.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/function.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/generics.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/index.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/instanceof.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/intersection.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/json.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/lazy.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/literal.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/map.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/nan.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/nested-refine.test.ts
GENERATED/HISTORICAL_DEBT(node_modules)	COMMIT_DELETION	apps/console/node_modules/zod/src/v4/classic/tests/nonoptional.test.ts
